first_name,last_name,state,middle_name,country,continent,lang_primar,lang_secondary,lang_tertiary,lang_quaternary,search_engine,link,category
inhofe,james“jim”,oklahoma,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
jacksonlee,sheila,texas,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
jacobs,chris,new york,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
jayapal,pramila,washington,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
jeffries,hakeem,new york,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
johnson,bill,ohio,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
johnson,dusty,south dakota,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
johnson,eddie,texas,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
johnson,henry“hank”,georgia,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
johnson,mike,louisiana,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
johnson,ron,wisconsin,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
jones,doug,alabama,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
jordan,jim,ohio,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
joyce,david,ohio,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
joyce,john,pennsylvania,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
kaine,timothy“tim”,virginia,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
kaptur,marcy,ohio,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
katko,john,new york,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
keating,william,massachusetts,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
keller,fred,pennsylvania,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
kelly,mike,pennsylvania,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
kelly,robin,illinois,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
kelly,trent,mississippi,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
kennedy,john,louisiana,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
kennedy,joseph,massachusetts,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
khanna,ro,california,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
kildee,daniel,michigan,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
kilmer,derek,washington,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
kim,andy,new jersey,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
kind,ron,wisconsin,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
king,angus,maine,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
king,peter“pete”,new york,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
king,steve,iowa,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
kinzinger,adam,illinois,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
kirkpatrick,ann,arizona,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
klobuchar,amy,minnesota,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
krishnamoorthi,raja,illinois,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
kuster,ann,new hampshire,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
kustoff,david,tennessee,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
lahood,darin,illinois,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
lamalfa,doug,california,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
lamb,conor,pennsylvania,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
lamborn,doug,colorado,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
langevin,james“jim”,rhode island,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
lankford,james,oklahoma,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
larsen,rick,washington,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
larson,john,connecticut,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
latta,robert,ohio,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
lawrence,brenda,michigan,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
