,first_name,middle_name,last_name,language_id,geographic_zone_id,category_id
480,green,NULL,mark,0,41,0
481,kustoff,NULL,david,0,41,0
482,roe,NULL,david“phil”,0,41,0
483,rose,NULL,john,0,41,0
484,abbott,NULL,gregory,0,42,0
485,allred,NULL,colin,0,42,0
486,arrington,NULL,jodey,0,42,0
487,babin,NULL,brian,0,42,0
488,brady,NULL,kevin,0,42,0
489,burgess,NULL,michael,0,42,0
490,carter,NULL,john,0,42,0
491,castro,NULL,joaquin,0,42,0
492,cloud,NULL,michael,0,42,0
493,conaway,NULL,michael,0,42,0
494,cornyn,NULL,john,0,42,0
495,crenshaw,NULL,dan,0,42,0
496,cruz,NULL,ted,0,42,0
497,cuellar,NULL,henry,0,42,0
498,doggett,NULL,lloyd,0,42,0
499,escobar,NULL,veronica,0,42,0
500,fletcher,NULL,lizzie,0,42,0
501,flores,NULL,bill,0,42,0
502,garcia,NULL,sylvia,0,42,0
503,gohmert,NULL,louie,0,42,0
504,gonzalez,NULL,vicente,0,42,0
505,gooden,NULL,lance,0,42,0
506,granger,NULL,kay,0,42,0
507,green,NULL,al,0,42,0
508,hurd,NULL,will,0,42,0
509,jacksonlee,NULL,sheila,0,42,0
510,johnson,NULL,eddie,0,42,0
511,marchant,NULL,kenny,0,42,0
512,mccaul,NULL,michael,0,42,0
513,olson,NULL,pete,0,42,0
514,roy,NULL,chip,0,42,0
515,taylor,NULL,van,0,42,0
516,thornberry,NULL,mac,0,42,0
517,veasey,NULL,marc,0,42,0
518,vela,NULL,filemon,0,42,0
519,weber,NULL,randy,0,42,0
520,williams,NULL,roger,0,42,0
521,wright,NULL,ron,0,42,0
522,herbert,NULL,gary,0,43,0
523,bishop,NULL,rob,0,43,0
524,curtis,NULL,john,0,43,0
525,lee,NULL,mike,0,43,0
526,mcadams,NULL,ben,0,43,0
527,romney,NULL,mitt,0,43,0
528,stewart,NULL,chris,0,43,0
529,scott,NULL,philip,0,44,0
530,leahy,NULL,patrick,0,44,0
531,sanders,NULL,bernard“bernie”,0,44,0
532,welch,NULL,peter,0,44,0
533,northam,NULL,ralph,0,45,0
534,beyer,NULL,donald,0,45,0
535,capito,NULL,shelley,0,45,0
536,cline,NULL,ben,0,45,0
537,connolly,NULL,gerald,0,45,0
538,griffith,NULL,morgan,0,45,0
539,kaine,NULL,timothy“tim”,0,45,0
540,luria,NULL,elaine,0,45,0
541,manchin,NULL,joe,0,45,0
542,mceachin,NULL,donald,0,45,0
543,mckinley,NULL,david,0,45,0
544,miller,NULL,carol,0,45,0
545,mooney,NULL,alex,0,45,0
546,riggleman,NULL,denver,0,45,0
547,scott,NULL,robert“bobby”,0,45,0
548,spanberger,NULL,abigail,0,45,0
549,warner,NULL,mark,0,45,0
550,wexton,NULL,jennifer,0,45,0
551,wittman,NULL,robert,0,45,0
552,inslee,NULL,jay,0,46,0
553,cantwell,NULL,maria,0,46,0
554,delbene,NULL,suzan,0,46,0
555,heck,NULL,denny,0,46,0
556,herrerabeutler,NULL,jaime,0,46,0
557,jayapal,NULL,pramila,0,46,0
558,kilmer,NULL,derek,0,46,0
559,larsen,NULL,rick,0,46,0
560,mcmorrisrodgers,NULL,cathy,0,46,0
561,murray,NULL,patty,0,46,0
562,newhouse,NULL,dan,0,46,0
563,schrier,NULL,kim,0,46,0
564,smith,NULL,adam,0,46,0
565,justice,NULL,james,0,47,0
566,evers,NULL,tony,0,48,0
567,baldwin,NULL,tammy,0,48,0
568,gallagher,NULL,mike,0,48,0
569,grothman,NULL,glenn,0,48,0
570,johnson,NULL,ron,0,48,0
571,kind,NULL,ron,0,48,0
572,moore,NULL,gwen,0,48,0
573,pocan,NULL,mark,0,48,0
574,sensenbrenner,NULL,james,0,48,0
575,steil,NULL,bryan,0,48,0
576,tiffany,NULL,thomas,0,48,0
577,gordon,NULL,mark,0,49,0
578,barrasso,NULL,john,0,49,0
579,cheney,NULL,liz,0,49,0
580,enzi,NULL,michael,0,49,0
581,norton,NULL,eleanor,0,50,0
582,matt,NULL,mccants,0,0,2
583,jay,NULL,barker,0,0,2
584,pernell,NULL,davis,0,0,2
585,rodney,NULL,hudson,0,0,2
586,freddie,NULL,roach,0,0,2
587,tee,NULL,martin,0,0,2
588,reggie,NULL,barlow,0,0,2
589,chris,NULL,samuels,0,0,2
590,reuben,NULL,foster,0,0,2
591,toderick,NULL,malone,0,0,2
592,brian,NULL,gowins,0,0,2
593,ameer,NULL,abdullah,0,0,2
594,rashad,NULL,johnson,0,0,2
595,rolando,NULL,mcclain,0,0,2
596,samaje,NULL,perine,0,0,2
597,richmond,NULL,flowers,0,0,2
598,kalvin,NULL,pearson,0,0,2
599,justin,NULL,anderson,0,0,2
600,courtney,NULL,upshaw,0,0,2
601,steve,NULL,mclendon,0,0,2
602,jay,NULL,prosch,0,0,2
603,a.j.,NULL,davis,0,0,2
604,t.j.,NULL,barnes,0,0,2
605,nick,NULL,fairley,0,0,2
606,simeon,NULL,castille,0,0,2
607,tarvaris,NULL,jackson,0,0,2
608,philip,NULL,rivers,0,0,2
609,roman,NULL,harper,0,0,2
610,brandon,NULL,king,0,0,2
611,josh,NULL,doctson,0,0,2
612,ardarius,NULL,stewart,0,0,2
613,fred,NULL,weary,0,0,2
614,nico,NULL,johnson,0,0,2
615,antoine,NULL,caldwell,0,0,2
616,melvin,NULL,oliver,0,0,2
617,jerraud,NULL,powers,0,0,2
618,marquis,NULL,maze,0,0,2
619,j.j.,NULL,nelson,0,0,2
620,jordan,NULL,howard,0,0,2
621,don,NULL,jones,0,0,2
622,matt,NULL,allen,0,0,2
