first_name,last_name,state
greg,stiemsma,minnesota
gustavo,ayon,milwaukee
hakim,warrick,charlotte
hamed,haddadi,phoenix
francisco,garcia,houston
joe,johnson, brooklyn
jodie,meeks,los angeles
joakim,noah,chicago
jimmy,butler,chicago
jimmer,fredette,sacramento
jerryd,bayless,memphis
jerry,stackhouse, brooklyn
jermaine,o'neal,phoenix
jeremy,pargo,philadelphia
jeremy,lin,houston
jeremy,lamb,oklahoma
jeremy,evans,utah
jeffery,taylor,charlotte
evan,turner,philadelphia
fab,melo,boston
jeremy,tyler,atlanta
hasheem,thabeet,oklahoma
hedo,turkoglu,orlando
jannero,pargo,charlotte
jared,cunningham,dallas
jared,dudley,phoenix
jared,jeffries,portland
jared,sullinger,boston
jarvis,varnado,miami
jason,maxiell,detroit
jason,richardson,philadelphia
jason,terry,boston
jason,thompson,sacramento
jeff,adrien,charlotte
jeff,ayres,indiana
joel,anthony,miami
james,johnson,sacramento
ian,mahinmi,indiana
isaiah,thomas,sacramento
ish,smith,milwaukee
ivan,johnson,atlanta
j.j.,barea,minnesota
jj,hickson,portland
james,jones,miami
jj,redick,milwaukee
javale,mcgee,denver
jae,crowder,dallas
jamaal,tinsley,utah
jamal,crawford,los angeles
jameer,nelson,orlando
james,anderson,houston
james,harden,houston
joel,freeland,portland
joel,przybilla,milwaukee
johan,petro,atlanta
lamarcus,aldridge,portland
kyrie,irving,cleveland
kyle,singler,detroit
kyle,o'quinn,orlando
kyle,lowry,toronto
kyle,korver,atlanta
kwame,brown,philadelphia
lamar,odom,los angeles
kris,humphries, brooklyn
kosta,koufos,denver
kobe,bryant,los angeles
kirk,hinrich,chicago
kim,english,detroit
khris,middleton,detroit
kris,joseph, brooklyn
keyon,dooling,memphis
lance,stephenson,indiana
landry,fields,toronto
luol,deng,chicago
luke,zeller,phoenix
luke,walton,cleveland
luke,ridnour,minnesota
luke,babbitt,portland
luis,scola,phoenix
luc,mbah a moute,milwaukee
lou,williams,atlanta
linas,kleiza,toronto
leandro,barbosa,boston
lebron,james,miami
lazar,hayward,minnesota
lavoy,allen,philadelphia
larry,sanders,milwaukee
paul,pierce,boston
kevin,martin,oklahoma
josh,howard,minnesota
josh,harrellson,miami
josh,childress, brooklyn
josh,akognon,dallas
jose,calderon,detroit
jordan,hill,los angeles
jordan,hamilton,denver
josh,mcroberts,charlotte
jordan,crawford,boston
jonas,jerebko,detroit
jon,leuer,memphis
john,salmons,sacramento
john,lucas iii,toronto
john,jenkins,atlanta
john,henson,milwaukee
jonas,valanciunas,toronto
kevin,murphy,utah
josh,selby,memphis
jrue,holiday,philadelphia
kevin,love,minnesota
kevin,jones,cleveland
kevin,garnett,boston
kevin,durant,oklahoma
kenneth,faried,denver
josh,smith,atlanta
kendrick,perkins,oklahoma
kemba,walker,charlotte
keith,bogans, brooklyn
juwan,howard,miami
justin,holiday,philadelphia
justin,dentmon,dallas
julyan,stone,denver
kendall,marshall,phoenix
jeff,green,boston
jeff,teague,atlanta
deshawn,stevenson,atlanta
dante,cunningham,minnesota
darius,johnson-odom,los angeles
darius,morris,los angeles
darko,milicic,boston
darrell,arthur,memphis
darren,collison,dallas
david,west,indiana
deandre,jordan,los angeles
deandre,liggins,oklahoma
demar,derozan,toronto
demarcus,cousins,sacramento
danny,granger,indiana
demarre,carroll,utah
danilo,gallinari,denver
damion,james, brooklyn
chris,wright,dallas
chuck,hayes,sacramento
cole,aldrich,sacramento
corey,brewer,denver
